feature,importance
scaled_roa,0.013973736106994117
scaled_totdebt_invcap,0.012763444062896
scaled_monthCAP9RET,0.011525672906298072
scaled_pe_inc,0.011314486893432308
scaled_usind2CRSPLCVT,0.01074522323532368
scaled_SPIndusdcnt,0.010566657086053676
scaled_SPportotval,0.010526178192295487
scaled_ustreb30ret,0.010500182253381823
scaled_monthewretd,0.010482554059259998
scaled_usind2CRSPMEV1,0.010480611979263971
scaled_monthvwretx,0.010360904597483156
scaled_SPIndsprtrn,0.009969999784395672
scaled_adv_sale,0.009858529668442681
scaled_ustreb5ret,0.009726819527852032
scaled_gpm,0.009481687608553415
scaled_monthCAP7RET,0.00939390510662182
scaled_pay_turn,0.009296218947423754
scaled_dltt_be,0.0091951402071284
scaled_monthCAP2RET,0.009087013989280218
scaled_de_ratio,0.008906747958001858
scaled_SPIndusdval,0.008898021812588449
scaled_SPporvwretx,0.008786603914390104
scaled_SPporusdcnt,0.008680153118151014
scaled_debt_capital,0.008509906780125465
scaled_monthtotind,0.008204655673465306
scaled_debt_ebitda,0.008165859776047786
scaled_ustreb2ind,0.008001548359020115
scaled_pe_op_dil,0.007996861981249225
scaled_monthusdval,0.007837269073550934
scaled_lt_debt,0.007791662298948243
scaled_stockewTotCnt,0.007522741369094232
scaled_monthtotret,0.007474247161796164
scaled_ustreb10ind,0.007411017988449993
scaled_rect_turn,0.007249432581129629
scaled_debt_at,0.007142610766725147
scaled_pe_op_basic,0.007093542818146448
scaled_usind2CRSPMIV1,0.007033824271596026
scaled_ustret90ind,0.007026335250876
scaled_stockewretd,0.00702584245598672
scaled_ustreb7ind,0.006965009239375751
scaled_capital_ratio,0.006962134870415534
scaled_ustreb10ret,0.0068975981152425495
scaled_cshtrm,0.006895909630486696
scaled_ustret90ret,0.0068651207617981104
scaled_prchm,0.0067852396438935645
scaled_SPporewretx,0.00677682597599723
scaled_monthCAP3RET,0.006736068874477898
scaled_roce,0.006703634043718556
scaled_ustreb20ind,0.0066967445378220535
scaled_ustreb7ret,0.006671302024277357
scaled_monthCAP4RET,0.00663871487124435
scaled_FundaIndxint,0.006563206995379934
scaled_stockewTotVal,0.0065018439038359984
scaled_usind2CRSPMIG1,0.00639581526857255
scaled_monthincind,0.006292131320711741
scaled_evm,0.006182197305830182
scaled_GProf,0.006179644641979375
scaled_equity_invcap,0.006133567539223958
scaled_usind2CRSPMEG1,0.006126541215437297
scaled_SPIndvwretx,0.006073260534254196
scaled_prclm,0.0060464644774932234
scaled_usind2CRSPLCG1,0.006028491817600397
scaled_cash_lt,0.005975000716142593
scaled_usind2CRSPSCVT,0.005859932216714907
scaled_at_turn,0.005826168721872028
scaled_monthCAP10RET,0.005820067198339812
scaled_ajexm,0.00581120872207451
scaled_ustreb1ind,0.005787896358624709
scaled_sale_invcap,0.005758473519015301
scaled_stockewUsdCnt,0.005732765953635111
scaled_monthtotcnt,0.005612942807781184
scaled_debt_invcap,0.005519148177379161
scaled_monthcapind,0.005488498686631157
scaled_cash_debt,0.005452011096403645
scaled_prccm,0.005443914240296879
scaled_lt_ppent,0.005403591962093739
scaled_monthCAP5RET,0.005382561604993868
scaled_SPIndvwretd,0.005370800808625719
scaled_usind2CRSPLCV1,0.005310619333049869
scaled_ustret30ret,0.005269107539571328
scaled_stockewretx,0.005210261631282639
scaled_usind2CRSPSCG1,0.005201318496344085
scaled_cfm,0.005168894229856293
scaled_usind2CRSPMEVT,0.005145988022372348
scaled_SPIndspindx,0.00512476678903896
scaled_stockvwretx,0.005103259039249508
scaled_usind2CRSPMEGT,0.005096507337596077
scaled_SPporsprtrn,0.005078906103946964
scaled_pcf,0.005066259184026779
scaled_monthcapret,0.005050270213943542
scaled_debt_assets,0.0050408240914095095
scaled_stockewUsdVal,0.004984026907045681
scaled_monthtotval,0.004961024881673866
scaled_usind2CRSPSCV1,0.0049141034275734866
scaled_bm,0.004854019350751291
scaled_usind2CRSPLCGT,0.004837603652650185
scaled_monthsprtrn,0.00482432491996462
scaled_SPporusdval,0.004810010579053048
scaled_SPporewretd,0.004794048155742978
scaled_opmbd,0.004761986568280158
scaled_accrual,0.004693077082450653
scaled_npm,0.004683532882316344
scaled_SPIndewretx,0.004681152149037856
scaled_aftret_eq,0.00465948335204035
scaled_SPIndewretd,0.004615741165445031
scaled_usind2CRSPMIGT,0.004609486256366993
scaled_SPIndtotval,0.004583171614632425
scaled_stockvwUsdCnt,0.004570578130908047
scaled_usind2CRSPMIVT,0.004566903929360504
scaled_monthvwretd,0.004439777840960568
scaled_ustreb20ret,0.004390127790671834
scaled_ustreb5ind,0.004336555196847474
scaled_monthspindx,0.0042888031922723975
scaled_monthewretx,0.004267811405313369
scaled_index_y,0.004192743228538376
scaled_FundaIndxsga,0.0041055012043657345
scaled_monthusdcnt,0.00409169526618523
scaled_ustreb1ret,0.004087915189786528
scaled_roe,0.0040753785220967835
scaled_monthCAP1RET,0.0040603189928578795
scaled_ptpm,0.004058392578769526
scaled_ustrecpiret,0.003965405922750848
scaled_monthincret,0.00391211779335115
scaled_SPIndtotcnt,0.0039015670329103453
scaled_stockvwTotVal,0.0038829377261486854
scaled_ajpm,0.003714436125483919
scaled_rd_sale,0.0037093538020318913
scaled_ustret30ind,0.0037081998769114455
scaled_aftret_invcapx,0.0036904566902503325
scaled_ustreb30ind,0.0036801403506482476
scaled_monthprtcnt,0.003668759041569257
scaled_CAPEI,0.0036570837430507075
scaled_stockvwTotCnt,0.00365286643111021
scaled_opmad,0.0035803646968580183
scaled_pe_exi,0.003418976756565031
